Date,Price
"Oct 01, 2020",116.79
"Sep 30, 2020",115.81
"Sep 29, 2020",114.09
"Sep 28, 2020",114.96
"Sep 25, 2020",112.28
"Sep 24, 2020",108.22
"Sep 23, 2020",107.12
"Sep 22, 2020",111.81
"Sep 21, 2020",110.08
"Sep 18, 2020",106.84
"Sep 17, 2020",110.34
"Sep 16, 2020",112.13
"Sep 15, 2020",115.54
"Sep 14, 2020",115.36
"Sep 11, 2020",112.00
"Sep 10, 2020",113.49
"Sep 09, 2020",117.32
"Sep 08, 2020",112.82
"Sep 04, 2020",120.96
"Sep 03, 2020",120.88
"Sep 02, 2020",131.40
"Sep 01, 2020",134.18
"Aug 31, 2020",129.04
"Aug 28, 2020",124.81
"Aug 27, 2020",125.01
"Aug 26, 2020",126.52
"Aug 25, 2020",124.82
"Aug 24, 2020",125.86
"Aug 21, 2020",124.37
"Aug 20, 2020",118.28
"Aug 19, 2020",115.71
"Aug 18, 2020",115.56
"Aug 17, 2020",114.61
"Aug 14, 2020",114.91
"Aug 13, 2020",115.01
"Aug 12, 2020",113.01
"Aug 11, 2020",109.38
"Aug 10, 2020",112.73
"Aug 07, 2020",111.11
"Aug 06, 2020",113.90
"Aug 05, 2020",110.06
"Aug 04, 2020",109.67
"Aug 03, 2020",108.94
"Jul 31, 2020",106.26
"Jul 30, 2020",96.19
"Jul 29, 2020",95.04
"Jul 28, 2020",93.25
"Jul 27, 2020",94.81
"Jul 24, 2020",92.61
"Jul 23, 2020",92.85
"Jul 22, 2020",97.27
"Jul 21, 2020",97.00
"Jul 20, 2020",98.36
"Jul 17, 2020",96.33
"Jul 16, 2020",96.52
"Jul 15, 2020",97.72
"Jul 14, 2020",97.06
"Jul 13, 2020",95.48
"Jul 10, 2020",95.92
"Jul 09, 2020",95.68
"Jul 08, 2020",95.34
"Jul 07, 2020",93.17
"Jul 06, 2020",93.46
"Jul 02, 2020",91.03
"Jul 01, 2020",91.03
"Jun 30, 2020",91.20
"Jun 29, 2020",90.44
"Jun 26, 2020",88.41
"Jun 25, 2020",91.21
"Jun 24, 2020",90.01
"Jun 23, 2020",91.63
"Jun 22, 2020",89.72
"Jun 19, 2020",87.43
"Jun 18, 2020",87.93
"Jun 17, 2020",87.90
"Jun 16, 2020",88.02
"Jun 15, 2020",85.75
"Jun 12, 2020",84.70
"Jun 11, 2020",83.97
"Jun 10, 2020",88.21
"Jun 09, 2020",86.00
"Jun 08, 2020",83.36
"Jun 05, 2020",82.88
"Jun 04, 2020",80.58
"Jun 03, 2020",81.28
"Jun 02, 2020",80.83
"Jun 01, 2020",80.46
"May 29, 2020",79.49
"May 28, 2020",79.56
"May 27, 2020",79.53
"May 26, 2020",79.18
"May 22, 2020",79.72
"May 21, 2020",79.21
"May 20, 2020",79.81
"May 19, 2020",78.29
"May 18, 2020",78.74
"May 15, 2020",76.93
"May 14, 2020",77.39
"May 13, 2020",76.91
"May 12, 2020",77.85
"May 11, 2020",78.75
"May 08, 2020",77.53
"May 07, 2020",75.93
"May 06, 2020",75.16
"May 05, 2020",74.39
"May 04, 2020",73.29
"May 01, 2020",72.27
"Apr 30, 2020",73.45
"Apr 29, 2020",71.93
"Apr 28, 2020",69.64
"Apr 27, 2020",70.79
"Apr 24, 2020",70.74
"Apr 23, 2020",68.76
"Apr 22, 2020",69.03
"Apr 21, 2020",67.09
"Apr 20, 2020",69.23
"Apr 17, 2020",70.70
"Apr 16, 2020",71.67
"Apr 15, 2020",71.11
"Apr 14, 2020",71.76
"Apr 13, 2020",68.31
"Apr 09, 2020",67.00
"Apr 08, 2020",66.52
"Apr 07, 2020",64.86
"Apr 06, 2020",65.62
"Apr 03, 2020",60.35
"Apr 02, 2020",61.23
"Apr 01, 2020",60.23
"Mar 31, 2020",63.57
"Mar 30, 2020",63.70
"Mar 27, 2020",61.94
"Mar 26, 2020",64.61
"Mar 25, 2020",61.38
"Mar 24, 2020",61.72
"Mar 23, 2020",56.09
"Mar 20, 2020",57.31
"Mar 19, 2020",61.19
"Mar 18, 2020",61.67
"Mar 17, 2020",63.22
"Mar 16, 2020",60.55
"Mar 13, 2020",69.49
"Mar 12, 2020",62.06
"Mar 11, 2020",68.86
"Mar 10, 2020",71.33
"Mar 09, 2020",66.54
"Mar 06, 2020",72.26
"Mar 05, 2020",73.23
"Mar 04, 2020",75.68
"Mar 03, 2020",72.33
"Mar 02, 2020",74.70
"Feb 28, 2020",68.34
"Feb 27, 2020",68.38
"Feb 26, 2020",73.16
"Feb 25, 2020",72.02
"Feb 24, 2020",74.54
"Feb 21, 2020",78.26
"Feb 20, 2020",80.07
"Feb 19, 2020",80.90
"Feb 18, 2020",79.75
"Feb 14, 2020",81.24
"Feb 13, 2020",81.22
"Feb 12, 2020",81.80
"Feb 11, 2020",79.90
"Feb 10, 2020",80.39
"Feb 07, 2020",80.01
"Feb 06, 2020",81.30
"Feb 05, 2020",80.36
"Feb 04, 2020",79.71
"Feb 03, 2020",77.17
"Jan 31, 2020",77.38
"Jan 30, 2020",80.97
"Jan 29, 2020",81.08
"Jan 28, 2020",79.42
"Jan 27, 2020",77.24
"Jan 24, 2020",79.58
"Jan 23, 2020",79.81
"Jan 22, 2020",79.43
"Jan 21, 2020",79.14
"Jan 17, 2020",79.68
"Jan 16, 2020",78.81
"Jan 15, 2020",77.83
"Jan 14, 2020",78.17
"Jan 13, 2020",79.24
"Jan 10, 2020",77.58
"Jan 09, 2020",77.41
"Jan 08, 2020",75.80
"Jan 07, 2020",74.60
"Jan 06, 2020",74.95
"Jan 03, 2020",74.36
"Jan 02, 2020",75.09
"Dec 31, 2019",73.41
"Dec 30, 2019",72.88
"Dec 27, 2019",72.45
"Dec 26, 2019",72.48
"Dec 24, 2019",71.07
"Dec 23, 2019",71.00
"Dec 20, 2019",69.86
"Dec 19, 2019",70.00
"Dec 18, 2019",69.93
"Dec 17, 2019",70.10
"Dec 16, 2019",69.96
"Dec 13, 2019",68.79
"Dec 12, 2019",67.86
"Dec 11, 2019",67.69
"Dec 10, 2019",67.12
"Dec 09, 2019",66.73
"Dec 06, 2019",67.68
"Dec 05, 2019",66.39
"Dec 04, 2019",65.43
"Dec 03, 2019",64.86
"Dec 02, 2019",66.04
"Nov 29, 2019",66.81
"Nov 27, 2019",66.96
"Nov 26, 2019",66.07
"Nov 25, 2019",66.59
"Nov 22, 2019",65.44
"Nov 21, 2019",65.50
"Nov 20, 2019",65.80
"Nov 19, 2019",66.57
"Nov 18, 2019",66.78
"Nov 15, 2019",66.44
"Nov 14, 2019",65.66
"Nov 13, 2019",66.12
"Nov 12, 2019",65.49
"Nov 11, 2019",65.55
"Nov 08, 2019",65.04
"Nov 07, 2019",64.86
"Nov 06, 2019",64.31
"Nov 05, 2019",64.28
"Nov 04, 2019",64.38
"Nov 01, 2019",63.96
"Oct 31, 2019",62.19
"Oct 30, 2019",60.81
"Oct 29, 2019",60.82
"Oct 28, 2019",62.26
"Oct 25, 2019",61.65
"Oct 24, 2019",60.90
"Oct 23, 2019",60.79
"Oct 22, 2019",59.99
"Oct 21, 2019",60.13
"Oct 18, 2019",59.10
"Oct 17, 2019",58.82
"Oct 16, 2019",58.59
"Oct 15, 2019",58.83
"Oct 14, 2019",58.97
"Oct 11, 2019",59.05
"Oct 10, 2019",57.52
"Oct 09, 2019",56.76
"Oct 08, 2019",56.10
"Oct 07, 2019",56.76
"Oct 04, 2019",56.75
"Oct 03, 2019",55.21
"Oct 02, 2019",54.74
"Oct 01, 2019",56.15
"Sep 30, 2019",55.99
"Sep 27, 2019",54.71
"Sep 26, 2019",54.97
"Sep 25, 2019",55.26
"Sep 24, 2019",54.42
"Sep 23, 2019",54.68
"Sep 20, 2019",54.43
"Sep 19, 2019",55.24
"Sep 18, 2019",55.69
"Sep 17, 2019",55.17
"Sep 16, 2019",54.97
"Sep 13, 2019",54.69
"Sep 12, 2019",55.77
"Sep 11, 2019",55.90
"Sep 10, 2019",54.17
"Sep 09, 2019",53.54
"Sep 06, 2019",53.31
"Sep 05, 2019",53.32
"Sep 04, 2019",52.30
"Sep 03, 2019",51.42
"Aug 30, 2019",52.19
"Aug 29, 2019",52.25
"Aug 28, 2019",51.38
"Aug 27, 2019",51.04
"Aug 26, 2019",51.62
"Aug 23, 2019",50.66
"Aug 22, 2019",53.12
"Aug 21, 2019",53.16
"Aug 20, 2019",52.59
"Aug 19, 2019",52.59
"Aug 16, 2019",51.63
"Aug 15, 2019",50.44
"Aug 14, 2019",50.69
"Aug 13, 2019",52.24
"Aug 12, 2019",50.12
"Aug 09, 2019",50.25
"Aug 08, 2019",50.86
"Aug 07, 2019",49.76
"Aug 06, 2019",49.25
"Aug 05, 2019",48.33
"Aug 02, 2019",51.01
"Aug 01, 2019",52.11
"Jul 31, 2019",53.26
"Jul 30, 2019",52.19
"Jul 29, 2019",52.42
"Jul 26, 2019",51.94
"Jul 25, 2019",51.76
"Jul 24, 2019",52.17
"Jul 23, 2019",52.21
"Jul 22, 2019",51.81
"Jul 19, 2019",50.65
"Jul 18, 2019",51.42
"Jul 17, 2019",50.84
"Jul 16, 2019",51.13
"Jul 15, 2019",51.30
"Jul 12, 2019",50.83
"Jul 11, 2019",50.44
"Jul 10, 2019",50.81
"Jul 09, 2019",50.31
"Jul 08, 2019",50.01
"Jul 05, 2019",51.06
"Jul 03, 2019",51.10
"Jul 02, 2019",50.68
"Jul 01, 2019",50.39
"Jun 28, 2019",49.48
"Jun 27, 2019",49.94
"Jun 26, 2019",49.95
"Jun 25, 2019",48.89
"Jun 24, 2019",49.65
"Jun 21, 2019",49.69
"Jun 20, 2019",49.87
"Jun 19, 2019",49.47
"Jun 18, 2019",49.61
"Jun 17, 2019",48.47
"Jun 14, 2019",48.19
"Jun 13, 2019",48.54
"Jun 12, 2019",48.55
"Jun 11, 2019",48.70
"Jun 10, 2019",48.15
"Jun 07, 2019",47.54
"Jun 06, 2019",46.31
"Jun 05, 2019",45.63
"Jun 04, 2019",44.91
"Jun 03, 2019",43.33
"May 31, 2019",43.77
"May 30, 2019",44.58
"May 29, 2019",44.35
"May 28, 2019",44.56
"May 24, 2019",44.74
"May 23, 2019",44.92
"May 22, 2019",45.69
"May 21, 2019",46.65
"May 20, 2019",45.77
"May 17, 2019",47.25
"May 16, 2019",47.52
"May 15, 2019",47.73
"May 14, 2019",47.17
"May 13, 2019",46.43
"May 10, 2019",49.29
"May 09, 2019",50.18
"May 08, 2019",50.72
"May 07, 2019",50.72
"May 06, 2019",52.12
"May 03, 2019",52.94
"May 02, 2019",52.29
"May 01, 2019",52.63
"Apr 30, 2019",50.17
"Apr 29, 2019",51.15
"Apr 26, 2019",51.08
"Apr 25, 2019",51.32
"Apr 24, 2019",51.79
"Apr 23, 2019",51.87
"Apr 22, 2019",51.13
"Apr 18, 2019",50.97
"Apr 17, 2019",50.78
"Apr 16, 2019",49.81
"Apr 15, 2019",49.81
"Apr 12, 2019",49.72
"Apr 11, 2019",49.74
"Apr 10, 2019",50.16
"Apr 09, 2019",49.88
"Apr 08, 2019",50.02
"Apr 05, 2019",49.25
"Apr 04, 2019",48.92
"Apr 03, 2019",48.84
"Apr 02, 2019",48.51
"Apr 01, 2019",47.81
"Mar 29, 2019",47.49
"Mar 28, 2019",47.18
"Mar 27, 2019",47.12
"Mar 26, 2019",46.70
"Mar 25, 2019",47.19
"Mar 22, 2019",47.76
"Mar 21, 2019",48.77
"Mar 20, 2019",47.04
"Mar 19, 2019",46.63
"Mar 18, 2019",47.01
"Mar 15, 2019",46.53
"Mar 14, 2019",45.93
"Mar 13, 2019",45.43
"Mar 12, 2019",45.23
"Mar 11, 2019",44.73
"Mar 08, 2019",43.23
"Mar 07, 2019",43.12
"Mar 06, 2019",43.63
"Mar 05, 2019",43.88
"Mar 04, 2019",43.96
"Mar 01, 2019",43.74
"Feb 28, 2019",43.29
"Feb 27, 2019",43.72
"Feb 26, 2019",43.58
"Feb 25, 2019",43.56
"Feb 22, 2019",43.24
"Feb 21, 2019",42.77
"Feb 20, 2019",43.01
"Feb 19, 2019",42.73
"Feb 15, 2019",42.60
"Feb 14, 2019",42.70
"Feb 13, 2019",42.55
"Feb 12, 2019",42.72
"Feb 11, 2019",42.36
